Result,WhiteName,BlackName,WhiteElo,BlackElo,IncludeWhiteTitle,IncludeBlackTitle,Move
1-0,"Carlsen, Magnus","Nepomniachtchi, Ian",1400,1400,True,True,exd7+
1-0,"Carlsen, Magnus","Kramnik, Vladimir",1400,1400,True,True,exd7+
1-0,"Nepomniachtchi, Ian","Carlsen, Magnus",1400,1400,True,True,exd7+
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",1400,1400,True,True,exd7+
1-0,"Kramnik, Vladimir","Carlsen, Magnus",1400,1400,True,True,exd7+
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",1400,1400,True,True,exd7+
1-0,"Carlsen, Magnus","Nepomniachtchi, Ian",1400,1400,True,False,exd7+
1-0,"Carlsen, Magnus","Kramnik, Vladimir",1400,1400,True,False,exd7+
1-0,"Nepomniachtchi, Ian","Carlsen, Magnus",1400,1400,True,False,exd7+
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",1400,1400,True,False,exd7+
1-0,"Kramnik, Vladimir","Carlsen, Magnus",1400,1400,True,False,exd7+
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",1400,1400,True,False,exd7+
1-0,"Carlsen, Magnus","Nepomniachtchi, Ian",1400,1400,False,True,exd7+
1-0,"Carlsen, Magnus","Kramnik, Vladimir",1400,1400,False,True,exd7+
1-0,"Nepomniachtchi, Ian","Carlsen, Magnus",1400,1400,False,True,exd7+
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",1400,1400,False,True,exd7+
1-0,"Kramnik, Vladimir","Carlsen, Magnus",1400,1400,False,True,exd7+
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",1400,1400,False,True,exd7+
1-0,"Carlsen, Magnus","Nepomniachtchi, Ian",1400,1400,False,False,exd7+
1-0,"Carlsen, Magnus","Kramnik, Vladimir",1400,1400,False,False,exd7+
1-0,"Nepomniachtchi, Ian","Carlsen, Magnus",1400,1400,False,False,exd7+
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",1400,1400,False,False,exd7+
1-0,"Kramnik, Vladimir","Carlsen, Magnus",1400,1400,False,False,exd7+
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",1400,1400,False,False,exd7+
1-0,"Carlsen, Magnus","Nepomniachtchi, Ian",2900,2900,True,True,exd7+
1-0,"Carlsen, Magnus","Kramnik, Vladimir",2900,2900,True,True,exd7+
1-0,"Nepomniachtchi, Ian","Carlsen, Magnus",2900,2900,True,True,exd7+
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",2900,2900,True,True,exd7+
1-0,"Kramnik, Vladimir","Carlsen, Magnus",2900,2900,True,True,exd7+
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",2900,2900,True,True,exd7+
1-0,"Carlsen, Magnus","Nepomniachtchi, Ian",2900,2900,True,False,exd7+
1-0,"Carlsen, Magnus","Kramnik, Vladimir",2900,2900,True,False,exd7+
1-0,"Nepomniachtchi, Ian","Carlsen, Magnus",2900,2900,True,False,exd7+
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",2900,2900,True,False,exd7+
1-0,"Kramnik, Vladimir","Carlsen, Magnus",2900,2900,True,False,exd7+
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",2900,2900,True,False,exd7+
1-0,"Carlsen, Magnus","Nepomniachtchi, Ian",2900,2900,False,True,exd7+
