Result,WhiteName,BlackName,WhiteElo,BlackElo,IncludeWhiteTitle,IncludeBlackTitle,Move
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",1000,1000,True,True,g6
1-0,"Nepomniachtchi, Ian","Kasparov, Garry",1000,1000,True,True,g6
1-0,"Nepomniachtchi, Ian","Giraud, Thibaut",1000,1000,True,True,g6
1-0,"Nepomniachtchi, Ian","Louapre, David",1000,1000,True,True,g6
1-0,"Nepomniachtchi, Ian",XXX,1000,1000,True,True,g6
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",1000,1000,True,True,g6
1-0,"Kramnik, Vladimir","Kasparov, Garry",1000,1000,True,True,g6
1-0,"Kramnik, Vladimir","Giraud, Thibaut",1000,1000,True,True,g6
1-0,"Kramnik, Vladimir","Louapre, David",1000,1000,True,True,g6
1-0,"Kramnik, Vladimir",XXX,1000,1000,True,True,g6
1-0,"Kasparov, Garry","Nepomniachtchi, Ian",1000,1000,True,True,g6
1-0,"Kasparov, Garry","Kramnik, Vladimir",1000,1000,True,True,g6
1-0,"Kasparov, Garry","Giraud, Thibaut",1000,1000,True,True,g6
1-0,"Kasparov, Garry","Louapre, David",1000,1000,True,True,g6
1-0,"Kasparov, Garry",XXX,1000,1000,True,True,g6
1-0,"Giraud, Thibaut","Nepomniachtchi, Ian",1000,1000,True,True,g6
1-0,"Giraud, Thibaut","Kramnik, Vladimir",1000,1000,True,True,g6
1-0,"Giraud, Thibaut","Kasparov, Garry",1000,1000,True,True,g6
1-0,"Giraud, Thibaut","Louapre, David",1000,1000,True,True,g6
1-0,"Giraud, Thibaut",XXX,1000,1000,True,True,Nf6
1-0,"Louapre, David","Nepomniachtchi, Ian",1000,1000,True,True,g6
1-0,"Louapre, David","Kramnik, Vladimir",1000,1000,True,True,g6
1-0,"Louapre, David","Kasparov, Garry",1000,1000,True,True,g6
1-0,"Louapre, David","Giraud, Thibaut",1000,1000,True,True,g6
1-0,"Louapre, David",XXX,1000,1000,True,True,g6
1-0,XXX,"Nepomniachtchi, Ian",1000,1000,True,True,g6
1-0,XXX,"Kramnik, Vladimir",1000,1000,True,True,g6
