Result,WhiteName,BlackName,WhiteElo,BlackElo,IncludeWhiteTitle,IncludeBlackTitle,Move
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",1200,1200,True,True,Bd2
1-0,"Nepomniachtchi, Ian","Giraud, Thibaut",1200,1200,True,True,Bd2
1-0,"Nepomniachtchi, Ian",XXX,1200,1200,True,True,Bxc6
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",1200,1200,True,True,Bxc6
1-0,"Kramnik, Vladimir","Giraud, Thibaut",1200,1200,True,True,Bd2
1-0,"Kramnik, Vladimir",XXX,1200,1200,True,True,Bxc6
1-0,"Giraud, Thibaut","Nepomniachtchi, Ian",1200,1200,True,True,Bxc6
1-0,"Giraud, Thibaut","Kramnik, Vladimir",1200,1200,True,True,Bd2
1-0,"Giraud, Thibaut",XXX,1200,1200,True,True,Bd2
1-0,XXX,"Nepomniachtchi, Ian",1200,1200,True,True,Bxc6
1-0,XXX,"Kramnik, Vladimir",1200,1200,True,True,Bxc6
1-0,XXX,"Giraud, Thibaut",1200,1200,True,True,Bd2
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",1200,1200,True,False,Bd2
1-0,"Nepomniachtchi, Ian","Giraud, Thibaut",1200,1200,True,False,Bd2
1-0,"Nepomniachtchi, Ian",XXX,1200,1200,True,False,Bd2
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",1200,1200,True,False,Bd2
1-0,"Kramnik, Vladimir","Giraud, Thibaut",1200,1200,True,False,Bd2
1-0,"Kramnik, Vladimir",XXX,1200,1200,True,False,Bd2
1-0,"Giraud, Thibaut","Nepomniachtchi, Ian",1200,1200,True,False,Bd2
1-0,"Giraud, Thibaut","Kramnik, Vladimir",1200,1200,True,False,Bd2
1-0,"Giraud, Thibaut",XXX,1200,1200,True,False,Bd2
1-0,XXX,"Nepomniachtchi, Ian",1200,1200,True,False,Bd2
1-0,XXX,"Kramnik, Vladimir",1200,1200,True,False,Bxc6
1-0,XXX,"Giraud, Thibaut",1200,1200,True,False,Bd2
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",1200,1200,False,True,Bd2
1-0,"Nepomniachtchi, Ian","Giraud, Thibaut",1200,1200,False,True,Bd2
1-0,"Nepomniachtchi, Ian",XXX,1200,1200,False,True,Bd2
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",1200,1200,False,True,Bd2
1-0,"Kramnik, Vladimir","Giraud, Thibaut",1200,1200,False,True,Bd2
1-0,"Kramnik, Vladimir",XXX,1200,1200,False,True,Bd2
1-0,"Giraud, Thibaut","Nepomniachtchi, Ian",1200,1200,False,True,Bd2
1-0,"Giraud, Thibaut","Kramnik, Vladimir",1200,1200,False,True,Bd2
1-0,"Giraud, Thibaut",XXX,1200,1200,False,True,Bd2
1-0,XXX,"Nepomniachtchi, Ian",1200,1200,False,True,Bd2
1-0,XXX,"Kramnik, Vladimir",1200,1200,False,True,Bd2
1-0,XXX,"Giraud, Thibaut",1200,1200,False,True,Bd2
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",1200,1200,False,False,Bd2
1-0,"Nepomniachtchi, Ian","Giraud, Thibaut",1200,1200,False,False,Bd2
1-0,"Nepomniachtchi, Ian",XXX,1200,1200,False,False,Bxc6
1-0,"Kramnik, Vladimir","Nepomniachtchi, Ian",1200,1200,False,False,Bd2
1-0,"Kramnik, Vladimir","Giraud, Thibaut",1200,1200,False,False,Bd2
1-0,"Kramnik, Vladimir",XXX,1200,1200,False,False,Bd2
1-0,"Giraud, Thibaut","Nepomniachtchi, Ian",1200,1200,False,False,Bxc6
1-0,"Giraud, Thibaut","Kramnik, Vladimir",1200,1200,False,False,Bd2
1-0,"Giraud, Thibaut",XXX,1200,1200,False,False,Bd2
1-0,XXX,"Nepomniachtchi, Ian",1200,1200,False,False,Bd2
1-0,XXX,"Kramnik, Vladimir",1200,1200,False,False,Bd2
1-0,XXX,"Giraud, Thibaut",1200,1200,False,False,Bd2
1-0,"Nepomniachtchi, Ian","Kramnik, Vladimir",2900,2900,True,True,Bd2
1-0,"Nepomniachtchi, Ian","Giraud, Thibaut",2900,2900,True,True,Bd2
